x_RIS_m,y_RIS_m,z_RIS_m,H_RIS,H_total,Pr_W,SNR_linear,SNR_dB,data_rate_bps,data_rate_Mbps
0.9,0.0,1.2666666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,1.3433333333333333,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,1.42,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,1.4966666666666666,0.0,0.0,0.0,0.0,-inf,0.0,0.0
0.9,0.0,1.5733333333333333,5.434243402054715e-08,5.434243402054715e-08,5.434243402054715e-08,0.08295258279994555,-10.81170087297227,2299401.5153054534,2.2994015153054534
0.9,0.0,1.65,5.5927515015736195e-08,5.5927515015736195e-08,5.5927515015736195e-08,0.08786234402761633,-10.561972146299997,2429920.246597301,2.4299202465973013
0.9,0.0,1.7266666666666666,5.654323123016057e-08,5.654323123016057e-08,5.654323123016057e-08,0.08980757827234265,-10.466870145242837,2481468.564658163,2.481468564658163
0.9,0.0,1.8033333333333332,5.623777669150078e-08,5.623777669150078e-08,5.623777669150078e-08,0.08883989263913532,-10.513919749576392,2455836.600338724,2.455836600338724
0.9,0.0,1.88,5.5080447515048046e-08,5.5080447515048046e-08,5.5080447515048046e-08,0.08522100656968419,-10.694533405289256,2359777.583593983,2.359777583593983
0.9,0.0,1.9566666666666666,5.315656704495735e-08,5.315656704495735e-08,5.315656704495735e-08,0.07937168321594172,-11.003344096194734,2203834.8905278426,2.2038348905278426
